title,year,bt_score,dubious,imdbid,tmdbId,budget,id,popularity,revenue,Category,castMale,castFemale,castUnknown,CrewMale,CrewFemale,CrewUnknown,genre
Domino,2005,3,0,421054,9923,50000000.0,9923,6.394143,22944502.0,Beschdel test passed!,12.0,12.0,2.0,13.0,15.0,1.0,"Action, Crime"
Kinky Boots,2005,3,1,434124,16367,0.0,16367,4.893525,8895428.0,Dubious,7.0,8.0,0.0,5.0,11.0,0.0,"Comedy, Drama"
Harry Potter and the Goblet of Fire,2005,1,0,330373,674,150000000.0,674,24.903058,895921036.0,Two named female character have no dialogue,26.0,38.0,1.0,14.0,16.0,0.0,"Adventure, Fantasy, Family"
Cinderella Man,2005,2,0,352248,921,88000000.0,921,6.363884,108539911.0,Two named female character talk only about boys,27.0,39.0,2.0,23.0,21.0,1.0,"Romance, Drama, History"
Happy Endings,2005,3,0,361693,14922,0.0,14922,3.499985,0.0,Beschdel test passed!,6.0,9.0,0.0,4.0,6.0,0.0,"Comedy, Drama, Romance"
Rent,2005,3,0,294870,1833,40000000.0,1833,9.530278,31670620.0,Beschdel test passed!,5.0,8.0,0.0,12.0,13.0,0.0,"Drama, Romance"
Charlie and the Chocolate Factory,2005,3,0,367594,118,150000000.0,118,22.038405,474968763.0,Beschdel test passed!,16.0,16.0,0.0,66.0,40.0,9.0,"Adventure, Comedy, Family, Fantasy"
Flightplan,2005,3,0,408790,9315,55000000.0,9315,12.419851,223387299.0,Beschdel test passed!,8.0,7.0,0.0,4.0,8.0,0.0,"Thriller, Drama, Mystery"
Strangers with Candy,2005,3,0,369994,13141,0.0,13141,3.786971,0.0,Beschdel test passed!,10.0,12.0,0.0,1.0,5.0,0.0,Comedy
Fun with Dick and Jane,2005,3,0,369441,7552,100000000.0,7552,13.473381,202026112.0,Beschdel test passed!,7.0,8.0,0.0,13.0,24.0,1.0,Comedy
Dark Water,2005,3,0,382628,9009,30000000.0,9009,6.53565,25473093.0,Beschdel test passed!,7.0,5.0,0.0,5.0,11.0,1.0,"Drama, Horror, Thriller"
Fantastic Four,2005,1,0,120667,9738,100000000.0,9738,19.382082,330579719.0,Two named female character have no dialogue,5.0,14.0,0.0,75.0,52.0,8.0,"Action, Adventure, Fantasy, Science Fiction"
Tristram Shandy: A Cock and Bull Story,2005,2,0,423409,8435,0.0,8435,2.536178,0.0,Two named female character talk only about boys,22.0,19.0,0.0,2.0,3.0,0.0,"Comedy, Drama"
"Ballad of Jack and Rose, The",2005,3,0,357110,17113,1500000.0,17113,4.173231,712294.0,Beschdel test passed!,5.0,4.0,0.0,2.0,0.0,0.0,Drama
Coach Carter,2005,3,0,393162,7214,30000000.0,7214,11.093737,76669806.0,Beschdel test passed!,4.0,6.0,0.0,7.0,10.0,1.0,Drama
